Date,Open,High,Low,Close,Volume,Adj Close
2017-03-06,155.940002,158.089996,155.869995,157.929993,964900,157.275256
2017-03-03,157.009995,157.330002,155.949997,157.059998,766000,156.408867
2017-03-02,158.309998,159.039993,156.830002,157.089996,1159300,156.438742
2017-03-01,156.940002,159.050003,155.029999,158.440002,1410000,157.783151
2017-02-28,155.800003,156.619995,154.699997,154.839996,1090300,154.19807
2017-02-27,154.839996,156.270004,154.199997,156.139999,690600,155.492683
2017-02-24,152.509995,155.110001,151.770004,155.039993,647700,154.397238
2017-02-23,156.479996,156.479996,152.889999,153.699997,702200,153.062796
2017-02-22,156.490005,156.839996,155.490005,155.860001,1057900,155.213845
2017-02-21,154.119995,155.960007,154.00,155.619995,921200,154.974835
2017-02-17,153.699997,154.380005,152.529999,153.889999,1079000,153.252011
2017-02-16,155.470001,155.75,153.429993,154.410004,823200,153.76986
2017-02-15,153.639999,156.440002,153.070007,155.490005,1762900,154.845384
2017-02-14,151.949997,152.830002,150.949997,152.630005,836200,151.99724
2017-02-13,151.009995,153.130005,151.00,152.460007,1625200,151.827947
2017-02-10,149.759995,150.330002,149.050003,150.25,1059000,149.627102
2017-02-09,147.789993,149.520004,147.369995,149.369995,1002700,148.750746
2017-02-08,146.889999,147.630005,145.380005,147.449997,1372400,146.838707
2017-02-07,150.429993,150.429993,147.589996,147.970001,1342300,146.699294
2017-02-06,149.619995,150.110001,148.050003,148.649994,945000,147.373447
2017-02-03,150.690002,151.149994,149.149994,150.210007,1073000,148.920063
2017-02-02,148.979996,152.869995,148.039993,149.75,2040300,148.464007
2017-02-01,147.149994,148.100006,145.089996,145.449997,1423200,144.200931
2017-01-31,146.860001,147.520004,144.820007,147.130005,1345900,145.866511
2017-01-30,148.899994,148.899994,145.850006,147.330002,983000,146.064791
2017-01-27,149.529999,150.139999,148.970001,149.270004,717200,147.988133
2017-01-26,149.070007,149.979996,148.029999,149.100006,1117200,147.819595
2017-01-25,146.039993,149.880005,145.789993,149.520004,1634200,148.235986
2017-01-24,142.899994,146.169998,142.729996,145.479996,781100,144.230672
2017-01-23,142.50,142.820007,141.059998,142.50,998400,141.276267
2017-01-20,144.460007,144.50,142.440002,142.520004,1350300,141.2961
2017-01-19,144.389999,145.520004,143.169998,143.75,1174600,142.515533
2017-01-18,143.820007,145.440002,143.639999,144.399994,802000,143.159945
2017-01-17,145.399994,145.460007,143.550003,143.619995,1623900,142.386644
2017-01-13,144.699997,146.339996,144.309998,146.25,947200,144.994064
2017-01-12,144.50,144.610001,141.679993,143.75,1231400,142.515533
2017-01-11,142.009995,145.339996,141.289993,145.210007,1441300,143.963001
2017-01-10,141.160004,142.050003,140.740005,141.830002,721400,140.612023
2017-01-09,141.539993,142.149994,140.369995,140.779999,519200,139.571037
2017-01-06,141.910004,142.399994,141.059998,141.490005,727500,140.274946
2017-01-05,142.350006,142.669998,139.919998,141.369995,557900,140.155966
2017-01-04,142.50,143.199997,141.899994,142.639999,637900,141.415064
2017-01-03,142.199997,144.25,140.830002,142.550003,1115000,141.325841
2016-12-30,140.449997,141.149994,139.490005,140.00,593400,138.797736
2016-12-29,140.869995,141.550003,139.720001,140.259995,429300,139.055498
2016-12-28,143.460007,143.759995,140.589996,140.869995,774200,139.66026
2016-12-27,142.839996,143.50,142.660004,143.270004,355400,142.039659
2016-12-23,142.960007,143.25,142.380005,142.740005,279500,141.514212
2016-12-22,142.360001,143.389999,142.059998,142.800003,990800,141.573694
2016-12-21,143.410004,143.820007,141.979996,142.389999,957500,141.167211
2016-12-20,143.660004,144.539993,142.940002,143.910004,797900,142.674162
2016-12-19,142.919998,143.440002,141.690002,142.820007,740300,141.593526
2016-12-16,143.660004,144.440002,142.330002,142.75,1956400,141.52412
2016-12-15,140.300003,144.449997,139.919998,143.00,1485800,141.771973
2016-12-14,140.580002,142.00,140.009995,140.199997,1092300,138.996016
2016-12-13,142.119995,142.50,140.410004,141.009995,769600,139.799057
2016-12-12,142.669998,142.899994,140.809998,141.559998,800000,140.344337
2016-12-09,141.649994,142.550003,141.130005,142.509995,901200,141.286176
2016-12-08,145.110001,145.110001,141.639999,141.889999,1361500,140.671505
2016-12-07,142.350006,145.440002,141.839996,144.979996,1016300,143.734966
2016-12-06,141.970001,142.919998,141.470001,142.550003,1385000,141.325841
2016-12-05,143.089996,143.600006,141.190002,142.460007,1127000,141.236617
2016-12-02,144.350006,144.690002,141.380005,141.899994,1782600,140.681414
2016-12-01,140.029999,144.050003,140.009995,143.470001,2575900,142.237938
2016-11-30,138.119995,139.940002,137.229996,138.929993,1191700,137.736918
2016-11-29,135.970001,137.610001,134.029999,136.949997,623700,135.773925
2016-11-28,138.289993,138.639999,136.630005,136.759995,676000,135.585555
2016-11-25,138.050003,139.039993,137.990005,139.039993,254000,137.845974
2016-11-23,137.190002,138.710007,137.089996,138.289993,825000,137.102414
2016-11-22,137.75,138.179993,136.639999,137.820007,744600,136.636464
2016-11-21,136.899994,137.75,136.679993,137.229996,901100,136.05152
2016-11-18,136.899994,137.080002,135.600006,136.080002,1006800,134.911401
2016-11-17,138.039993,138.630005,136.910004,137.100006,705800,135.922646
2016-11-16,139.130005,139.850006,137.330002,137.809998,1080700,136.626541
2016-11-15,138.509995,140.070007,137.199997,140.020004,1351300,138.817569
